Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Operating Profit,Sales Method
Walmart,1128299,6/17/2021,Southeast,Florida,Orlando,Women's Apparel,$103.00 ,218,"$1,257 ",Online
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Women's Apparel,$103.00 ,163,$806 ,Online
Sports Direct,1197831,8/25/2021,South,Alabama,Birmingham,Men's Street Footwear,$10.00 ,700,"$3,150 ",Outlet
Sports Direct,1197831,8/27/2021,South,Alabama,Birmingham,Women's Street Footwear,$15.00 ,575,"$3,881 ",Outlet
Sports Direct,1197831,8/21/2021,South,Alabama,Birmingham,Women's Street Footwear,$15.00 ,475,"$3,206 ",Outlet
West Gear,1185732,1/11/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,$15.00 ,475,"$2,494 ",In-store
Sports Direct,1185732,11/17/2021,South,Mississippi,Jackson,Men's Athletic Footwear,$20.00 ,450,"$3,150 ",Online
Sports Direct,1197831,1/23/2021,South,Mississippi,Jackson,Women's Street Footwear,$15.00 ,450,"$2,700 ",Online
West Gear,1185732,4/3/2021,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,$20.00 ,450,"$2,700 ",In-store
Foot Locker,1185732,3/10/2020,Northeast,New York,New York,Men's Street Footwear,$44.00 ,434,$993 ,Outlet
Foot Locker,1185732,1/18/2021,Midwest,Michigan,Detroit,Women's Street Footwear,$20.00 ,425,"$2,975 ",In-store
West Gear,1185732,2/11/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,$15.00 ,425,"$2,231 ",In-store
West Gear,1185732,6/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,$20.00 ,425,"$2,975 ",In-store
Amazon,1185732,4/10/2021,Midwest,Ohio,Columbus,Women's Street Footwear,$20.00 ,425,"$3,400 ",Online
Foot Locker,1185732,3/16/2021,South,Mississippi,Jackson,Women's Street Footwear,$15.00 ,425,"$2,550 ",Online
Walmart,1185732,9/16/2021,South,Mississippi,Jackson,Women's Street Footwear,$20.00 ,425,"$3,400 ",Online
Walmart,1197831,2/21/2021,South,Arkansas,Little Rock,Women's Apparel,$20.00 ,425,"$3,400 ",Online
Walmart,1197831,10/21/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,$20.00 ,425,"$2,975 ",Online
Walmart,1185732,5/3/2020,Northeast,New York,New York,Men's Street Footwear,$48.00 ,420,"$1,129 ",Outlet
Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,$39.00 ,408,$875 ,Outlet
Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,$46.00 ,403,"$1,038 ",Outlet
West Gear,1185732,3/10/2021,West,Utah,Salt Lake City,Women's Street Footwear,$20.00 ,400,"$2,800 ",In-store
West Gear,1185732,6/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,$20.00 ,400,"$3,200 ",In-store
West Gear,1185732,10/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,$20.00 ,400,"$2,800 ",In-store
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,$20.00 ,400,"$2,800 ",In-store
Walmart,1185732,9/16/2021,South,Mississippi,Jackson,Women's Athletic Footwear,$20.00 ,400,"$3,200 ",Online
Sports Direct,1197831,2/21/2021,South,Mississippi,Jackson,Women's Street Footwear,$15.00 ,400,"$2,400 ",Online
Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Men's Street Footwear,$47.00 ,400,$978 ,Outlet
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,$40.00 ,390,$811 ,Outlet
Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's Street Footwear,$33.00 ,388,$666 ,Outlet
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,$34.00 ,384,$679 ,Outlet
Foot Locker,1185732,2/7/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,$31.00 ,376,$559 ,Outlet
Sports Direct,1197831,8/22/2021,South,Alabama,Birmingham,Women's Athletic Footwear,$20.00 ,375,"$4,125 ",Outlet
Foot Locker,1185732,2/18/2021,Midwest,Michigan,Detroit,Women's Street Footwear,$20.00 ,375,"$2,625 ",In-store
West Gear,1185732,8/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,$20.00 ,375,"$3,000 ",In-store
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,$20.00 ,375,"$3,000 ",In-store
Foot Locker,1185732,4/17/2021,South,Mississippi,Jackson,Women's Street Footwear,$15.00 ,375,"$2,250 ",Online
